Env             Server                              Port   Service              Status    
DT_AZ1          dember1-z1-b6.infra.dev.pndrs.de    443    HTTPS                FAILED    
DT_AZ1          dember1-z1-b6.infra.dev.pndrs.de    389    LDAP                 FAILED    
DT_AZ1          dember1-z1-b6.infra.dev.pndrs.de    636    LDAPS                FAILED    
DT_AZ1          dember1-z1-b6.infra.dev.pndrs.de    88     Kerberos             FAILED    
DT_AZ1          dember1-z1-b6.infra.dev.pndrs.de    464    Kerberos kpasswd     FAILED    
DT_AZ1          dember1-z1-b6.infra.dev.pndrs.de    53     DNS                  FAILED    
DT_AZ1          dember1-z1-b9.infra.dev.pndrs.de    80     HTTP                 FAILED    
DT_AZ1          dember1-z1-b9.infra.dev.pndrs.de    443    HTTPS                FAILED    
DT_AZ1          dember1-z1-b9.infra.dev.pndrs.de    389    LDAP                 FAILED    
DT_AZ1          dember1-z1-b9.infra.dev.pndrs.de    636    LDAPS                FAILED    
DT_AZ1          dember1-z1-b9.infra.dev.pndrs.de    88     Kerberos             FAILED    
DT_AZ1          dember1-z1-b9.infra.dev.pndrs.de    464    Kerberos kpasswd     FAILED    
DT_AZ1          dember1-z1-b9.infra.dev.pndrs.de    53     DNS                  FAILED    
DT_AZ1          dember1-z1-b60.infra.dev.pndrs.de   80     HTTP                 FAILED    
DT_AZ1          dember1-z1-b60.infra.dev.pndrs.de   443    HTTPS                FAILED    
DT_AZ1          dember1-z1-b60.infra.dev.pndrs.de   389    LDAP                 FAILED    
DT_AZ1          dember1-z1-b60.infra.dev.pndrs.de   636    LDAPS                FAILED    
DT_AZ1          dember1-z1-b60.infra.dev.pndrs.de   88     Kerberos             FAILED    
DT_AZ1          dember1-z1-b60.infra.dev.pndrs.de   464    Kerberos kpasswd     FAILED    
DT_AZ1          dember1-z1-b60.infra.dev.pndrs.de   53     DNS                  FAILED    
DT_AZ1          sdpappb1007.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1007.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1007.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1007.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1007.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1007.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpappb1007.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          dember1-z1-b7.infra.dev.pndrs.de    80     HTTP                 FAILED    
DT_AZ1          dember1-z1-b7.infra.dev.pndrs.de    443    HTTPS                FAILED    
DT_AZ1          dember1-z1-b7.infra.dev.pndrs.de    389    LDAP                 FAILED    
DT_AZ1          dember1-z1-b7.infra.dev.pndrs.de    636    LDAPS                FAILED    
DT_AZ1          dember1-z1-b7.infra.dev.pndrs.de    88     Kerberos             FAILED    
DT_AZ1          dember1-z1-b7.infra.dev.pndrs.de    464    Kerberos kpasswd     FAILED    
DT_AZ1          dember1-z1-b7.infra.dev.pndrs.de    53     DNS                  FAILED    
DT_AZ1          sdpappb1008.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1008.infra.dev.pndrs.de      443    HTTPS                FAILED    
DT_AZ1          sdpappb1008.infra.dev.pndrs.de      389    LDAP                 FAILED    
DT_AZ1          sdpappb1008.infra.dev.pndrs.de      636    LDAPS                FAILED    
DT_AZ1          sdpappb1008.infra.dev.pndrs.de      88     Kerberos             FAILED    
DT_AZ1          sdpappb1008.infra.dev.pndrs.de      464    Kerberos kpasswd     FAILED    
DT_AZ1          sdpappb1008.infra.dev.pndrs.de      53     DNS                  FAILED    
DT_AZ1          dember1-z1-b8.infra.dev.pndrs.de    80     HTTP                 FAILED    
DT_AZ1          dember1-z1-b8.infra.dev.pndrs.de    443    HTTPS                FAILED    
DT_AZ1          dember1-z1-b8.infra.dev.pndrs.de    389    LDAP                 FAILED    
DT_AZ1          dember1-z1-b8.infra.dev.pndrs.de    636    LDAPS                FAILED    
DT_AZ1          dember1-z1-b8.infra.dev.pndrs.de    88     Kerberos             FAILED    
DT_AZ1          dember1-z1-b8.infra.dev.pndrs.de    464    Kerberos kpasswd     FAILED    
DT_AZ1          dember1-z1-b8.infra.dev.pndrs.de    53     DNS                  FAILED    
DT_AZ1          sdpappb1009.infra.dev.pndrs.de      80     HTTP                 FAILED    
DT_AZ1          sdpappb1009.infra.dev.pndrs.de      443    HTTPS                FAILED    
